CodigoOC;Correlativo;CodigoCategoria;Categoria;CodigoProducto;Producto;EspecificacionComprador;EspecificacionProveedor;Cantidad;Unidad;PrecioNeto;TotalImpuestos;TotalLinea
1057532-26-SE25;3;78111800;Servicios de transporte, almacenaje y correo / Transporte de pasajeros / Transporte de pasajeros por carretera;78111808;Arriendo de vehículos;Servicio de Movilización  Comunidad Terapéutica  Peulla//Movilización  dentro de la ciudad;HORAS RURAL;2.5;;30000.0;0.0;75000.0
1057532-2267-SE24;1;43232400;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Programas de desarrollo;43232408;Software de desarrollo de plataforma Web;Emisión LME No Adscrito;Emisión LME No Adscrito;258.0;;80.0;0.0;20640.0
1057532-2267-SE24;2;43232400;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Programas de desarrollo;43232408;Software de desarrollo de plataforma Web;Emisión LME Si Adscrito;Emisión LME Si Adscrito;1029.0;;91.0;0.0;93639.0
1057532-2267-SE24;3;43232400;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Programas de desarrollo;43232408;Software de desarrollo de plataforma Web;Emisión LME Prestador (Full);Emisión LME Prestador (Full);57.0;;91.0;0.0;5187.0
1057532-19-SE25;1;30222500;Artículos para estructuras, obras y construcciones / Construcciones permanentes / Construcciones para alojamiento;30222501;Casas residenciales;TRATO DIRECTO ADQ. DE 10 CUPOS DE RESIDENCIA PROTEGIDA DE ALTA COMPLEJIDAD PARA EL SERVICIO DE SALUD OSORNO EN LA CIUDAD DE OSORNO, POR UN PERIODO DE 12 MESES.;TRATO DIRECTO ADQ. DE 10 CUPOS DE RESIDENCIA PROTEGIDA DE ALTA COMPLEJIDAD PARA EL SERVICIO DE SALUD OSORNO EN LA CIUDAD DE OSORNO, POR UN PERIODO DE 12 MESES.//  10 USUARIOS MES DE NOVIEMBRE 2024;310.0;;65546.21848;0.0;20319327.7288
1057532-19-SE25;2;30222500;Artículos para estructuras, obras y construcciones / Construcciones permanentes / Construcciones para alojamiento;30222501;Casas residenciales;.TRATO DIRECTO ADQ. DE 10 CUPOS DE RESIDENCIA PROTEGIDA DE ALTA COMPLEJIDAD PARA EL SERVICIO DE SALUD OSORNO EN LA CIUDAD DE OSORNO, POR UN PERIODO DE 12 MESES/RETROACTIVO SERVICIOS DE REFUERZO (OCTUBRE - NOVIEMBRE 2024 /;TRATO DIRECTO ADQ. DE 10 CUPOS DE RESIDENCIA PROTEGIDA DE ALTA COMPLEJIDAD PARA EL SERVICIO DE SALUD OSORNO EN LA CIUDAD DE OSORNO, POR UN PERIODO DE 12 MESES.//  10 USUARIOS//RETROACTIVO SERVICIOS DE REFUERZO (OCTUBRE - NOVIEMBRE 2024;610.0;;15126.05;0.0;9226890.5
1057532-5-AG25;1;44101700;Equipos, accesorios y suministros de oficina / Maquinarias, suministros y accesorios de oficina / Accesorios para impresoras, fotocopiadoras y aparatos de fax;44101707;Corcheteras;2 CORCHETERA DE ESCRITORIO.;;2.0;;3953.0;0.0;0.0
1057532-5-AG25;2;44121600;Equipos, accesorios y suministros de oficina / Suministros de oficina / Suministros de escritorio;44121611;Perforadoras;1 PERFORADORA DE ESCRITORIO.;;1.0;;5234.0;0.0;0.0
1057532-5-AG25;3;44121600;Equipos, accesorios y suministros de oficina / Suministros de oficina / Suministros de escritorio;44121635;Portarrollos de cinta adhesiva;1 PORTA CINTA ADHESIVA DE ESCRITORIO.;;1.0;;1460.0;0.0;0.0
1057532-5-AG25;4;41122800;Equipamiento para laboratorios / Suministros para laboratorios / Estantes, soportes y bandejas de laboratorio;41122808;Bandejas de uso general;2 BANDEJAS DE ESCRITORIO .;;2.0;;7844.0;0.0;0.0
1057532-5-AG25;5;24111800;Equipamiento para manejo y estiba de materiales / Recipientes para almacenamiento / Tanques y cilindros;24111801;Depósitos;2 PAPELERO DE ESCRITORIO.;;2.0;;3466.0;0.0;0.0
1057532-5-AG25;6;44101800;Equipos, accesorios y suministros de oficina / Maquinarias, suministros y accesorios de oficina / Máquinas calculadoras y accesorios;44101801;Calculadoras o accesorios;2 CALCULADORA DE ESCRITORIO.;;2.0;;3173.0;0.0;0.0
1057532-5-AG25;7;44111500;Equipos, accesorios y suministros de oficina / Accesorios de oficina y escritorio / Agendas y accesorios;44111509;Portalápiz;2 LAPICERO DE ESCRITORIO.;;2.0;;682.0;0.0;0.0
1057532-8-SE25;1;43223100;Tecnologías de la información, telecomunicaciones y radiodifusión / Equipos, plataformas y accesorios de redes multimedia, voz y datos / Componentes y equipos de infraestructura de redes móviles y digitales;43223113;Antena LAN UMTS GSM;cuota 23/24 - Noviembre 2024//diferencia;Según  las condiciones definidas en resolución de trato directo 1669 del 03 de febrero del 2023. adjunta;1.0;;5057.0;0.0;5057.0
