Nivel,Concepto Presupuestario,Ley de Presupuestos,Requerimiento,_col_4,Saldo por Aplicar,_col_6,Compromiso,Saldo por Comprometer,Devengado,Saldo por Devengar,Efectivo,Deuda Flotante,Ruta_Jerarquica,Establecimiento,Fecha
4,2211002005 Postitulos Contratados con Universidades,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2211 Servicios Técnicos y Profesionales > 2211002 Cursos de Capacitación > 2211002005 Postitulos Contratados con Universidades,1638002 Hospital de Osorno,enero 2024
5,221100200501 Postitulos Contratados con Universidades Ley No.18,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2211 Servicios Técnicos y Profesionales > 2211002 Cursos de Capacitación > 2211002005 Postitulos Contratados con Universidades > 221100200501 Postitulos Contratados con Universidades Ley No.18,1638002 Hospital de Osorno,enero 2024
5,221100200502 Postitulos Contratados con Universidades Ley No.19,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2211 Servicios Técnicos y Profesionales > 2211002 Cursos de Capacitación > 2211002005 Postitulos Contratados con Universidades > 221100200502 Postitulos Contratados con Universidades Ley No.19,1638002 Hospital de Osorno,enero 2024
5,221100200503 Programa Iniciativa Ministerial PIM POSTI.C.UNIV.,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2211 Servicios Técnicos y Profesionales > 2211002 Cursos de Capacitación > 2211002005 Postitulos Contratados con Universidades > 221100200503 Programa Iniciativa Ministerial PIM POSTI.C.UNIV.,1638002 Hospital de Osorno,enero 2024
4,2211002006 Convenios Con Universidades,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2211 Servicios Técnicos y Profesionales > 2211002 Cursos de Capacitación > 2211002006 Convenios Con Universidades,1638002 Hospital de Osorno,enero 2024
5,221100200601 Convenios Con Universidades Ley 18834,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2211 Servicios Técnicos y Profesionales > 2211002 Cursos de Capacitación > 2211002006 Convenios Con Universidades > 221100200601 Convenios Con Universidades Ley 18834,1638002 Hospital de Osorno,enero 2024
5,221100200602 Convenios Con Universidades Ley 19664,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2211 Servicios Técnicos y Profesionales > 2211002 Cursos de Capacitación > 2211002006 Convenios Con Universidades > 221100200602 Convenios Con Universidades Ley 19664,1638002 Hospital de Osorno,enero 2024
3,2211003 Servicios Informáticos,0.0,250101.0,,-250101.0,,230121.0,19980.0,230121.0,0.0,230121.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2211 Servicios Técnicos y Profesionales > 2211003 Servicios Informáticos,1638002 Hospital de Osorno,enero 2024
3,2211999 Otros,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2211 Servicios Técnicos y Profesionales > 2211999 Otros,1638002 Hospital de Osorno,enero 2024
2,2212 Otros Gastos en Bienes y Servicios de Consumo,0.0,839098258.0,,-839098258.0,,411022691.0,428075567.0,302757460.0,108265231.0,202118619.0,100638841.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo,1638002 Hospital de Osorno,enero 2024
3,2212001 Gastos Reservados,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212001 Gastos Reservados,1638002 Hospital de Osorno,enero 2024
3,2212002 Gastos Menores,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212002 Gastos Menores,1638002 Hospital de Osorno,enero 2024
3,"2212003 Gastos de Representación, Protocolo y Ceremonial",0.0,166131.0,,-166131.0,,166131.0,0.0,166131.0,0.0,166131.0,0.0,"22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212003 Gastos de Representación, Protocolo y Ceremonial",1638002 Hospital de Osorno,enero 2024
3,"2212004 Intereses, Multas y Recargos",0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,"22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212004 Intereses, Multas y Recargos",1638002 Hospital de Osorno,enero 2024
3,2212005 Derechos y Tasas,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212005 Derechos y Tasas,1638002 Hospital de Osorno,enero 2024
3,2212006 Contribuciones,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212006 Contribuciones,1638002 Hospital de Osorno,enero 2024
3,2212999 Otros,0.0,838932127.0,,-838932127.0,,410856560.0,428075567.0,302591329.0,108265231.0,201952488.0,100638841.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros,1638002 Hospital de Osorno,enero 2024
4,2212999001 Compra De Servicios Medicos De Diálisis,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999001 Compra De Servicios Medicos De Diálisis,1638002 Hospital de Osorno,enero 2024
4,2212999002 Compra de Examenes y de Procedimientos,0.0,150065000.0,,-150065000.0,,109444083.0,40620917.0,66810676.0,42633407.0,65091676.0,1719000.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999002 Compra de Examenes y de Procedimientos,1638002 Hospital de Osorno,enero 2024
5,221299900201 Compras de Examenes,0.0,150065000.0,,-150065000.0,,109444083.0,40620917.0,66810676.0,42633407.0,65091676.0,1719000.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999002 Compra de Examenes y de Procedimientos > 221299900201 Compras de Examenes,1638002 Hospital de Osorno,enero 2024
5,221299900202 Compra de Procedimientos,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999002 Compra de Examenes y de Procedimientos > 221299900202 Compra de Procedimientos,1638002 Hospital de Osorno,enero 2024
4,2212999003 Compra Intervenciones Quirúrgicas,0.0,300000000.0,,-300000000.0,,222199350.0,77800650.0,166094850.0,56104500.0,106588350.0,59506500.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999003 Compra Intervenciones Quirúrgicas,1638002 Hospital de Osorno,enero 2024
5,221299900301 Compra Intervenciones Quirúrgicas Intrahospitalari,0.0,150000000.0,,-150000000.0,,86883850.0,63116150.0,61483850.0,25400000.0,44809850.0,16674000.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999003 Compra Intervenciones Quirúrgicas > 221299900301 Compra Intervenciones Quirúrgicas Intrahospitalari,1638002 Hospital de Osorno,enero 2024
5,221299900302 Compra Intervenciones Quirúrgicas Intrahospitalari,0.0,150000000.0,,-150000000.0,,135315500.0,14684500.0,104611000.0,30704500.0,61778500.0,42832500.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999003 Compra Intervenciones Quirúrgicas > 221299900302 Compra Intervenciones Quirúrgicas Intrahospitalari,1638002 Hospital de Osorno,enero 2024
5,221299900303 Compra Intervenciones Quirúrgicas Clínicas,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999003 Compra Intervenciones Quirúrgicas > 221299900303 Compra Intervenciones Quirúrgicas Clínicas,1638002 Hospital de Osorno,enero 2024
4,2212999004 Compra De Atención De Urgencia,0.0,150000000.0,,-150000000.0,,0.0,150000000.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999004 Compra De Atención De Urgencia,1638002 Hospital de Osorno,enero 2024
4,2212999005 Pago Rebases Ley de Urgencia,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999005 Pago Rebases Ley de Urgencia,1638002 Hospital de Osorno,enero 2024
4,2212999006 Colocación,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999006 Colocación,1638002 Hospital de Osorno,enero 2024
5,221299900601 Colocación Familiar de Menores y Extra Hospitalari,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999006 Colocación > 221299900601 Colocación Familiar de Menores y Extra Hospitalari,1638002 Hospital de Osorno,enero 2024
