CodigoCompraAgil;CodigoProducto;Nombre;Descripcion;Cantidad;UnidadMedida
1057532-137-COT26;42181606;Mangas de inflación de presión sanguínea o mangas neumáticas o adaptadores;"""Brazalete PANI Adulto Grande doble lumen. Diámetro Brazo entre 33 y 45 cm (± 2 cm). Código de referencia: REUSE12. Compatible con el equipo: Zoll X Serie/GE V100""";3;EA
1057532-137-COT26;42181606;Mangas de inflación de presión sanguínea o mangas neumáticas o adaptadores;"""Brazalete PANI Adulto Muslo doble lumen. Diámetro Muslo entre 44 (± 2 cm) y =54 cm. Código de referencia: REUSE13. Compatible con el equipo: Zoll X Serie/GE V100""";2;EA
1057532-137-COT26;42181606;Mangas de inflación de presión sanguínea o mangas neumáticas o adaptadores;"""Brazalete PANI Pediátrico una vía. Diámetro Brazo entre 11 y 18 cm (±1.5 cm). Compatible con el equipo: Benevision N1""";4;EA
1057532-137-COT26;42181606;Mangas de inflación de presión sanguínea o mangas neumáticas o adaptadores;"""Brazalete PANI Pediátrico una vía. Diámetro Brazo entre 15 y 21 cm (±1.5 cm). Compatible con el equipo: Benevision N1""";4;EA
1057532-137-COT26;42181606;Mangas de inflación de presión sanguínea o mangas neumáticas o adaptadores;"""Brazalete PANI Pediátrico una vía. Diámetro Brazo entre 20 y 27 cm (±1.5 cm). Código de referencia: 040-000978-00. Compatible con el equipo: Benevision N1.""";4;EA
1057532-137-COT26;42181606;Mangas de inflación de presión sanguínea o mangas neumáticas o adaptadores;"""Brazalete PANI Adulto una vía. Diámetro Brazo entre 26 y 35 cm (±1.5 cm). Código de referencia: 040-000983-00. Compatible con el equipo: Benevision N1""";4;EA
1057532-137-COT26;42181606;Mangas de inflación de presión sanguínea o mangas neumáticas o adaptadores;"""Brazalete PANI Adulto una vía. Diámetro Brazo entre 32 (±1 cm) y  =43 cm. Código de referencia: 115-015931-00OR. Compatible con el equipo: Benevision N1. """;5;EA
1057532-137-COT26;42181606;Mangas de inflación de presión sanguínea o mangas neumáticas o adaptadores;"""Brazalete PANI Adulto Obeso o muslo una vía. Diámetro entre 44 (±2 cm) y =54 cm. Código de referencia: 040-000993-00. Compatible con el equipo: Benevision N1.  Cantidad = 4 unidades.""";4;EA
1057532-136-COT26;49201606;Pesas de entrenamiento;PESA RUSA 8 KG  SEGUN ESPECIFICACIONES TECNICAS ADJUNTAS;2;EA
1057532-136-COT26;49201606;Pesas de entrenamiento;PESA RUSA 10 KG  SEGUN ESPECIFICACIONES TECNICAS ADJUNTAS;2;EA
1057532-136-COT26;49201606;Pesas de entrenamiento;PESAS TOBILLO  2 PAR DE PESAS DE TOBILLO CON PESO 1 KG C/U SEGUN ESPECIFICACIONES TECNICAS ADJUNTAS;2;EA
1057532-136-COT26;49201606;Pesas de entrenamiento;PESAS TOBILLO  2 PAR DE PESAS DE TOBILLO CON PESO 2 KG C/U SEGUN ESPECIFICACIONES TECNICAS ADJUNTAS;2;EA
1057532-136-COT26;49201602;Barras con pesas;BARRA PREOLIMPICA RECTA 4.2 KG 120 CM CROMADA  SEGUN ESPECIFICACIONES TECNICAS ADJUNTAS;1;EA
1057532-136-COT26;49201602;Barras con pesas;ALMOHADILLA PARA BARRAS OLIMPICAS/PRE-OLIMPICA  SEGUN ESPECIFICACIONES TECNICAS ADJUNTAS;1;EA
1057532-136-COT26;49161703;Discos;DISCOS LEVANTAMIENTO  PAR DE DISCOS 10 KG PREOLIMPICOS CON AGARRE TIPO MANCUERNAS SEGUN ESPECIFICACIONES TECNICAS ADJUNTAS;1;EA
1057532-136-COT26;49161703;Discos;DISCOS LEVANTAMIENTO  PAR DE DISCOS 15 KG PREOLIMPICOS CON AGARRE SEGUN ESPECIFICACIONES TECNICAS ADJUNTAS;1;EA
1057532-136-COT26;49161703;Discos;DISCOS LEVANTAMIENTO  PAR DE DISCOS 5 KG PREOLIMPICOS CON AGARRE SEGUN ESPECIFICACIONES TECNICAS ADJUNTAS;1;EA
1077241-7-COT26;42181801;Unidades de oxímetros de pulso;OXIMETROS DE PULSO (SATUROMETROS)  DEBE INCLUIR ACCESORIOS. DE ACUERDO A ESPECIFICACIONES TECNICAS ADJUNTAS;8;EA
