ID Proyecto,OC Asociada PAC
1057532-174-PC22,1057532-1165-SE22
1057532-174-PC22,1057532-255-SE22
1057532-174-PC22,1057532-1535-SE22
1057532-174-PC22,1057532-699-SE22
1057532-174-PC22,1057532-1348-SE22
1057532-174-PC22,1057532-554-SE22
1057532-175-PC22,1057532-1163-SE22
1057532-175-PC22,1057532-638-SE22
1057532-175-PC22,1057532-1919-SE22
1057532-175-PC22,1057532-1770-SE22
1057532-176-PC22,1057532-509-AG22
1057532-177-PC22,1057532-1382-CM22
1057532-177-PC22,1057532-253-AG22
1057532-177-PC22,1057532-646-AG22
1057532-177-PC22,1057532-271-AG22
1057532-177-PC22,1057532-323-AG22
1057532-177-PC22,1057532-373-CM22
1057532-177-PC22,1057532-198-CM22
1057532-177-PC22,1057532-683-SE22
1057532-177-PC22,1057532-197-CM22
1057532-177-PC22,1057532-684-AG22
1057532-177-PC22,1057532-270-AG22
1057532-177-PC22,1057532-721-AG22
1057532-177-PC22,1057532-418-CM22
1057532-177-PC22,1057532-324-AG22
1057532-177-PC22,1057532-337-CM22
1057532-177-PC22,1057532-272-AG22
1057532-177-PC22,1057532-663-AG22
1057532-177-PC22,1057532-447-CM22
1057532-177-PC22,1057532-288-AG22
1057532-177-PC22,1057532-411-CM22
1057532-182-PC22,1057532-1405-AG22
1057532-182-PC22,1057532-1727-SE22
1057532-183-PC22,1057532-1066-AG22
1057532-183-PC22,1057532-97-AG23
1057532-184-PC22,1057532-1822-AG22
1057532-184-PC22,1057532-1704-SE22
1057532-184-PC22,1057532-1772-SE22
1057532-184-PC22,1057532-1157-AG22
1057532-184-PC22,1057532-1745-SE22
1057532-184-PC22,1057532-1548-SE22
1057532-184-PC22,1057532-1798-AG22
1057532-184-PC22,1057532-1773-SE22
1057532-184-PC22,1057532-937-SE22
1057532-184-PC22,1057532-936-SE22
1057532-184-PC22,1057532-1769-SE22
1057532-184-PC22,1057532-1506-AG22
1057532-184-PC22,1057532-630-AG22
1057532-184-PC22,1057532-1551-SE22
1057532-184-PC22,1057532-1872-SE22
1057532-184-PC22,1057532-697-AG22
1057532-184-PC22,1057532-698-AG22
1057532-184-PC22,1057532-953-SE22
1057532-184-PC22,1057532-661-AG22
1057532-184-PC22,1057532-27-AG22
1057532-184-PC22,1057532-1591-CM22
1057532-184-PC22,1057532-1680-CM22
1057532-184-PC22,1057532-1871-SE22
1057532-184-PC22,1057532-194-SE22
1057532-184-PC22,1057532-1679-CM22
1057532-184-PC22,1057532-1681-AG22
1057532-185-PC22,1057532-1610-SE23
1057532-185-PC22,1057532-684-SE23
1057532-185-PC22,1057532-2098-TD25
1057532-185-PC22,1057532-163-SE25
1057532-185-PC22,1057532-2125-SE23
1057532-185-PC22,1057532-338-SE23
1057532-185-PC22,1057532-832-SE23
1057532-185-PC22,1057532-1735-SE22
1057532-185-PC22,1057532-955-SE22
1057532-185-PC22,1057532-1925-SE24
1057532-185-PC22,1057532-1235-SE23
1057532-185-PC22,1057532-685-SE23
1057532-185-PC22,1057532-790-SE23
1057532-185-PC22,1057532-58-SE23
1057532-185-PC22,1057532-1405-SE23
1057532-185-PC22,1057532-1880-SE23
1057532-185-PC22,1057532-2124-SE23
1057532-185-PC22,1057532-912-SE23
1057532-185-PC22,1057532-541-SE23
1057532-185-PC22,1057532-343-SE23
1057532-185-PC22,1057532-1438-SE23
1057532-185-PC22,1057532-187-SE23
1057532-185-PC22,1057532-2109-SE23
1057532-185-PC22,1057532-1850-SE23
1057922-4-PC22,1057922-67-SE22
1057922-4-PC22,1057532-1806-SE22
1057922-4-PC22,1057922-11-SE22
1057922-4-PC22,1057532-1805-SE22
1057922-4-PC22,1057922-71-SE22
1057922-4-PC22,1057532-1807-SE22
1057922-4-PC22,1057532-1809-SE22
1057922-4-PC22,1057922-72-SE22
1057922-4-PC22,1057922-16-SE22
1057922-4-PC22,1057532-1808-SE22
1057922-4-PC22,1057922-55-SE22
1057922-4-PC22,1057922-10-SE22
1057922-4-PC22,1057922-58-SE22
1057922-4-PC22,1057922-90-SE22
